"New.Names.for.Pdfs","Foreword","Introduction","Executive.Summary","Preface","Conclusion","Does.renamed.file.exist.in.z_oursample..Yes..no","US.EU.UN","Comments.Questions.","Name.NVIVO.May.24","Fully.coded","Executive.Coded","Main.Theme","page.length.","OCR.done","Fix.Pipeline","Fix.women","Fix.organizations","Fix.structure","Fix.culture","fix.knowledge","fix.problems","Author","Year","Title","Location","Institution","Publisher","Department","Department.1","NA."
"AAUW_2013",NA,"AAUW_2013_intro",NA,NA,"AAUW_2013_Concl","yes","US","0","AAUW_2013","0","0",1,10,"0",1,1,0,0,0,0,0,"0",2013,"Improve Girls' and Women's Opportunities in Science, Technology, Engineering, and Math","Washington, DC","American Association of University Women (AAUW)","American Association of University Women (AAUW)","AAUW Public Policy and Government Relations Department","0",NA
"AL_2007",NA,"AL_2007_intro","AL_2007_exec",NA,"AL_2007_concl","yes","EU","0","0","0","0",1,6,"0",0,0,1,0,0,1,0,"Ledin, A., Bornmann, L., Gannon, F. and Wallon, G.",2007,"A persistent problem. Traditional gender roles hold back female scientists.","Heidelberg, Germany","European Molecular Biology Organization (EMBO)","European Molecular Biology Organization Press","0","0",NA
"EC_2012d",NA,NA,"EC_2012d_exec",NA,"EC_2012d_concl","yes","EU","0","0","0","0",1,6,"0",0,0,1,0,0,1,0,"0",2012,"Developing Systematic Implementation Strategy to Advance EU Policy on Gender Equality in Science, as part of HORIZON 2020, European Research Area and Innovation Union","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2014",NA,NA,"EC_2014_exec",NA,NA,"yes","EU","0","0","0","0",1,4,"0",1,0,1,0,0,1,0,"0",2014,"Research and Innovation Quality through Equality From Ideas to Markets: Excellence in mainstreaming gender into research, innovation, and policy","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2015g",NA,"EC_2015g_intro","EC_2015g_exec",NA,"EC_2015g_concl","yes","EU","0","0","0","0",1,14,"0",0,0,0,0,0,1,0,"0",2015,"For a better integration of the gender dimension in Horizon 2020 Work Programme 2016-2017","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","AAUW Public Policy and Government Relations Department",NA
"MIT_1999","MIT_1999_fore","MIT_1999_intro","MIT_1999_exec",NA,"MIT_1999_concl","yes","US","0","MIT_1999","0","Annie",1,0,"0",1,0,1,0,0,0,0,"Chisholm, Sallie W., Friedman, Jerome I., Hopkins, Nancy, Kleitman, Daniel, Matthews, June L., Potter, Mary C. , Rizzoli, Paola M., Royden, Leigh, Silbey, Robert J., Stubbe, JoAnne, Ceyer, Sylvia T., Chisholm, Sallie W., Friedman, Jerome I., Hewitt, Jacqueline N. and Hodges, Kip V.",1999,"A study of the status of women faculty in science at MIT: how a Committee on Women Faculty came to be established by the Dean of the School of Science, what the Committee and the Dean learned and accomplished, and recommendations for the future","Cambridge, Massachusetts","Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Committee on Women Faculty. Massachusetts Institute of Technology (MIT)","0",NA
"NCWGE_2012",NA,"NCWGE_2012_intro","NCWGE_2012_exec",NA,"NCWGE_2012_concl","yes","US","0","NCWGE_2012","FSV","0",1,10,"0",1,1,0,0,0,0,0,"0",2012,"Science, Technology, Engineering, and Mathematics (STEM): Equality Narrows the Achievement Gap","Washington, DC","National Coalition for Women and Girls in Education (NCWGE)","National Coalition for Women and Girls in Education (NCWGE)","0","Center for Policy Analysis",NA
"UN_1998",NA,"UN_1998_intro",NA,NA,"UN_1998_concl","yes","INT","0","UNESCO_1998a","0","Annie",1,10,"no",1,0,1,1,0,1,1,"0",1998,"Women, Science and Technology in Latin America: Diagnoses and Strategies (Final Report)","Bariloche, Argentina","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","0",NA
"UN_2002b",NA,"UN_2002b_intro",NA,NA,"UN_2002b_concl","yes","INT","0","UN_2002b","0","0",1,0,"1",0,0,1,1,0,1,0,"Hafkin, Nancy",2002,"Gender Issues in ICT Policy in Developing Countries: An Overview","Geneva, Switzerland","United Nations Division for the Advancement of Women (DAW)","United Nations Publications","0","0",NA
"UN_2006b",NA,NA,"UN_2006b_exec",NA,NA,"yes","INT","0","UNESCO_2006","0","0",1,7,"0",1,0,1,1,0,0,0,"Huyer, Sophia",2006,"The Gender Working Group Transformative Action Areas: Then and Now","Geneva, Switzerland","UN Gender Advisory Board","United Nations Publications","Commission on Science and Technology for Development","0",NA
"UN_2011a",NA,"UN_2011a_intro",NA,NA,"UN_2011a_concl","yes","INT","0","UN_2011a","0","0",1,0,"1",0,0,0,0,0,1,1,"Bonder, Gloria",2011,"Why Is It Important That Women Fully Participate in the Construction of the Information/Knowledge Society","Bariloche, Argentina","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","0",NA
"UN_2011c",NA,"UN_2011c_intro",NA,NA,"UN_2011c_concl","yes","INT","0","UN_2011c","0","0",1,0,"1",1,0,1,1,0,0,0,"0",2011,"Commission on the Status of Women 55: Agreed Conclusions","Paris, France","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","0",NA
"WB_2004",NA,NA,"WB_2004_exec",NA,"WB_2004_concl","yes","INT","0","WorldBank_2004","0","0",1,0,"1",0,0,0,0,0,1,0,"0",2004,"Engendering Information and Communication Technologies : Challenges and Opportunities for Gender-Equitable Development","Washington, DC","World Bank Group","World Bank Group","0","ETAN Expert Working Group on Women and Science",NA
"AAAS_1976","AAAS_1976_fore","AAAS_1976_intro",NA,"AAAS_1976_pref","AAAS_1976_concl","yes","US","0","AAAS_1976","0","0",1,79,"0",1,1,0,0,0,0,0,"Malcom, Shirley M., Hall, Paula Quick and Brown, Janet Welsh",1976,"The double bind: The price of being a minority woman in science","Washington, DC","American Association for the Advancement of Science (AAAS)","American Association for the Advancement of Science (AAAS)","0","0",NA
"AAUDE_2013",NA,"AAUDE_2013_intro",NA,NA,"AAUDE_2013_concl","yes","US","0","0","0","0",0,0,"0",0,0,0,0,0,0,0,"Carr, Rebecca",2013,"Women in the academic pipeline for science, technology, engineering and math: nationally and at AAUDE institutions","Nashville, TN","Association of American Universities Data Exchange (AAUDE)","Association of American Universities Data Exchange (AAUDE)","0","The Helsinki Group and Directorate-General for Research",NA
"AAUW_2004","AAUW_2004_fore","AAUW_2004_intro",NA,NA,"AAUW_2004_concl","yes","US","0","0","0","0",1,43,"0",1,0,1,0,0,0,0,"Dyer, Susan K., Ed.",2004,"Under the Microscope: A Decade of Gender Equity Projects in the Sciences","Washington, DC","American Association of University Women (AAUW)","American Association of University Women (AAUW)","0","0",NA
"AAUW_2010","AAUW_2010_fore",NA,"AAUW_2010_exec",NA,"AAUW_2010_concl","yes","US","0","AAUW_2010","FSV","Annie",1,134,"0",1,1,0,0,0,0,0,"Hill, Catherine, Corbett, Christianne and Rose, Andresse St. ",2010,"Why so few?  Women in science, technology, engineering, and mathematics.","Washington, DC","American Association of University Women (AAUW)","American Association of University Women (AAUW)","0","0",NA
"AAUW_2015","AAUW_2015_fore",NA,"AAUW_2015_exec",NA,"AAUW_2015_concl","yes","US","0","AAUW_2015","FSV","Annie",1,159,"0",1,1,1,0,0,0,0,"Corbett, Christianne and Hill, Catherine",2015,"Solving the Equation: The Variables for Women's Success in Engineering and Computing","Washington, DC","American Association of University Women (AAUW)","American Association of University Women (AAUW)","0","Enwise Expert Group on women scientists in the Central and Eastern European countries and in the Baltic States and Directorate-General for Research and Innovation",NA
"ACE_2006",NA,"ACE_2006_intro","ACE_2006_exec",NA,"ACE_2006_concl","yes","US","0","0","0","0",1,28,"0",1,0,1,0,0,0,0,"King, Jacqueline E.",2006,"Gender Equity in Higher Education: 2006","Washington, DC","American Council on Education (ACE)","American Council on Education (ACE)","Center for Policy Analysis","0",NA
"AIR_2012",NA,"AIR_2012_intro","AIR_2012_exec",NA,NA,"yes","US","0","AIR_2012","0","Annie",1,94,"0",1,0,1,0,0,0,0,"Bang, Megan, Castillo, Steve, Diaz, Fred M., Garza, Tina, Gomez, Louis, Gonazalez, Lino, Kimbrough, Walter M., Malcom-Piqueux, Lindsey, Marinez, Diana I., Mathur, Krish, Padron, Eduardo, Phelps, Stacy, Sekaric, Lidija, Summers-Gates, Judith A. and Tyler, Margaret Daniels",2012,"Broadening Participation in STEM: A call to action","Washington, DC","American Institutes for Research (AIR)","American Institutes for Research (AIR)","0","0",NA
"AIR_2014b",NA,"AIR_2014b_intro",NA,NA,"AIR_2014b_concl","yes","US","0","AIR_2014b","0","0",1,13,"0",1,1,1,0,0,0,0,"Gillen, Andrew and Tanenbaum, Courtney",2014,"Exploring Gender Imbalance Among STEM Doctoral Degree Recipients","Washington, DC","American Institutes for Research (AIR)","American Institutes for Research (AIR)","0","0",NA
"EC_1999a",NA,"EC_1999a_intro",NA,NA,"EC_1999a_concl","yes","EU","K: is a communication from the commission a report?","European Commission_1999a","0","Annie",1,49,"1",0,0,0,0,0,1,0,"0",1999,"Women and Science. Mobilising women to enrich European research. Communication from the Commission. COM (99) 76 final, 17 February 1999","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_1999b",NA,NA,NA,"EC_1999b_pref","EC_1999b_concl","yes","EU","0","EC_1999d","0","0",1,0,"0",1,0,0,0,0,1,1,"0",1999,"Women and Science: Report of a conference held in April 1998 Brussels","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2000","EC_2000_fore","EC_2000_intro","EC_2000_exec","EC_2000_pref","EC_2000_concl","yes","EU","0","European Commission_2000","FSV","0",1,174,"0",1,0,1,0,0,0,0,"Osborn, Mary, Rees, Teresa, Bosch, Mineke, Ebeling, Helga, Hermann, Claudine, Hilden, Jytte, McLaren, Anne, Palomba, Rossella, Peltonen, Leena, Vela, Carmen, Weis, Dominique, Wold, Agnes, Mason, Joan and Wennerås, Christine",2000,"Science Policies in the European Union: Promoting excellence through mainstreaming gender equality: A Report from the ETAN Expert Working Group on Women and Science","Luxembourg","European Commission","Office for Official Publications of the European Communities","ETAN Expert Working Group on Women and Science","0",NA
"EC_2001",NA,"EC_2001_intro",NA,NA,"EC_2001_concl","yes","EU","K:  commission staff paper - so it's bureaucrats but similar to US GAO!","EC_2001b","0","0",1,0,"0",0,0,1,1,0,0,1,"0",2001,"Commission staff working paper: women and science: the gender dimension as a leverage for reforming science","Luxembourg","European Commission","Office for Official Publications of the European Communities","0","Economy and Society Directorate-General for Research Science",NA
"EC_2002",NA,"EC_2002_intro","EC_2002_exec","EC_2002_pref","EC_2002_concl","yes","EU","0","EC Helsinki Group_2002","0","Annie",1,4,"no",1,0,1,0,0,0,0,"0",2002,"National Policies on Women and Science in Europe","Luxembourg","European Commission","Office for Official Publications of the European Communities","The Helsinki Group and Directorate-General for Research","0",NA
"EC_2003",NA,"EC_2003_intro","EC_2003_exec","EC_2003_pref",NA,"yes","EU","0","European Commission_2003a","FSV","0",1,116,"0",1,0,0,0,0,0,0,"0",2003,"She Figures 2003. Women and Science. Statistics and Indicators","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2004a","EC_2004a_fore","EC_2004a_intro",NA,"EC_2004a_pref","EC_2004a_concl","yes","EU","0","European Commission_2004c","0","Annie",1,185,"0",0,0,0,0,0,1,0,"0",2004,"Gender and Excellence in the Making","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","Directorate General for Research",NA
"EC_2004b","EC_2004b_fore","EC_2004b_intro","EC_2004b_exec","EC_2004b_pref","EC_2004b_concl","yes","EU","0","European Commission_2004b","FSV","0",1,179,"0",1,0,1,0,0,0,0,"Blagojević, Marina, Bundele, Maija, Burkhardt, Anke, Calloni, Marina, Ergma, Ene, Glover, Judith, Groó, Dora, Havelková, Hana, Mladenič, Dunja, Olesky, Elzbieta H., Srettenova, Nikola, Tripsa, Mioara Florica, Velichová, Daniela and Zvinkliene, Alina",2004,"Waste of talents: turning private struggles into a public issue: Women and Science in the Enwise countries","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Enwise Expert Group on women scientists in the Central and Eastern European countries and in the Baltic States and Directorate-General for Research and Innovation","genSET",NA
"EC_2005",NA,"EC_2005_intro",NA,NA,"EC_2005_concl","yes","EU","0","European Commission_2005c","FSV","0",1,36,"0",0,0,0,0,0,1,0,"0",2005,"Women and Science: Excellence and Innovation - Gender Equality in Science","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2006",NA,"EC_2006_intro","EC_2006_exec","EC_2006_pref",NA,"yes","EU","0","European_Commission_2006c","0","0",1,116,"0",0,0,0,0,0,1,0,"0",2006,"She Figures 2006. Women and Science. Statistics and Indicators","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2008a","EC_2008a_fore","EC_2008a_intro","EC_2008a_exec",NA,"EC_2008a_concl","yes","EU","0","European Commission_2008a","FSV","Annie",1,164,"0",1,0,1,0,0,0,0,"Ruest-Archambault, Elyse, von Tunzelmann, Nick, Iammarino, Simona, Jagger, Nick, Miller, Linda, Kutlaca, Djuro, Semencenko, Dusica, Popvic-Pantic, Sanja and Mosurovic, Maria",2008,"Benchmarking Policy Measures for Gender Equality in Science","Luxembourg","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2008b","EC_2008b_fore","EC_2008b_intro","EC_2008b_exec",NA,"EC_2008b_concl","yes","EU","0","European Commission_2008c","FSV","Annie",1,80,"0",1,0,1,0,0,1,0,"0",2008,"Mapping the maze: Getting more women to the top in research","Luxembourg","European Commission","Office for Official Publications of the European Communities","0","Yellow Window Management Consultants",NA
"EC_2009a","EC_2009a_fore","EC_2009a_intro","EC_2009a_exec",NA,"EC_2009a_concl","yes","EU","0","European Commission_2009a","0","0",1,136,"0",1,0,1,0,0,0,0,"0",2009,"The Gender Challenge in Research Funding: Assessing the European National Scenes","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","Directorate-General for Research and Innovation and The Expert Group on Structural Change",NA
"EC_2009b","EC_2009b_fore","EC_2009b_intro",NA,NA,NA,"yes","EU","0","European Commission_2009b","0","0",1,132,"0",1,0,1,0,0,0,0,"0",2009,"Women in Science and Technology: Creating Sustainable Careers","Luxembourg","European Commission","Office for Official Publications of the European Communities","0","Directorate-General for Research and Innovation",NA
"EC_2009c","EC_2009c_fore","EC_2009c_intro",NA,NA,NA,"yes","EU","0","European Commission_2009c","0","0",1,0,"0",0,0,0,0,0,0,1,"0",2009,"Women in science","Luxembourg","European Commission","Office for Official Publications of the European Communities","Economy and Society Directorate-General for Research Science","0",NA
"EC_2009d",NA,"EC_2009d_intro","EC_2009d_exec","EC_2009d_pref",NA,"yes","EU","0","EC_2009d","0","Annie",1,160,"1",1,1,1,0,0,0,0,"0",2009,"She Figures 2009. Gender in Research and Innovation. Statistics and Indicators","Luxembourg","European Commission","Office for Official Publications of the European Communities","0","Directorate General for Research",NA
"EC_2009e","EC_2009e_fore","EC_2009e_intro","EC_2009e_exec",NA,"EC_2009e_concl","yes","EU","0","EC_2009e","0","0",1,0,"0",1,0,1,0,1,0,0,"Palma, Michele, Martini, Serenella, Di Nardo, Marino, Zancanaro, Irene, Cacace, Marina, Declich, Giovanna, Berliri, Maresa, Bruni, Marina, Foschi, Martha, Kupczyk, Dominika, McGilvray, Marysia, Murari, Giovanna, Peto, Andrea, Kálai, Katalin, Szobaszlai, Beata, Groó, Dóra, Palasik, Mária, Gönczi, Richard, Zajczyk, Francesca, Crosta, Francesca, Fiore, Brunella, Ortelli, Sabrina, Palvarini, Peitro, Schmidt, Evanthia Kalpazidou, Faber, Stine Thidemann, Davidson, Marilyn, Fielden, Sandra, Hunt, Carrie, Kan, Jackie, Woolnough, Helen, Falcinelli, Daniela, Beccalli, Bianca, Chiesi, Antonio, Sorlini, Claudia, Rapetti, Elisa, Benjamin, Sara, Magaraggia, Sveva, Deyton, Patricia H., Hogan, Alice, Kivolowitz, Kerri, Ryan, Kathleen, Scott, Jackie, Bagnoli, Anna, Whithouse, Gillian, Rocco, Carlie, Calvi, Giulia and Fava, Valentina",2009,"Guidelines for Gender: Equality Programmes in Science","Rome, Italy","Practising Gender Equality in Science (PraGES)","Practising Gender Equality in Science (PraGES)","0","Directorate-General for Research and Innovation",NA
"EC_2009f",NA,"EC_2009f_intro",NA,NA,"EC_2009f_concl","yes","EU","0","EC_2009f","0","0",1,0,"0",1,0,1,1,0,0,0,"0",2008,"Monitoring Progress Towards Gender Equality in the Sixth Framework Programme: Citizens and Governance in a Knowledge-based Society: Synthesis Report","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Directorate General for Research","Directorate-General for Research and Innovation and European Research Area",NA
"EC_2010a",NA,"EC_2010a_intro",NA,NA,"EC_2010a_concl","yes","EU","0","EC_2010","0","0",1,0,"0",1,0,1,1,0,0,0,"Buitendijk, Simone, Revuelta, Concha Colomer, Corda, Daniela, Flodström, Anders, Holdcroft, Anita, Hunter, Jackie, James, Astrid, Jensen, Henrik Toft, Kitchen, Nick, Schraudner, Martina, Sjørup, Karen, Rice, Curt, Rønneberg, Hanne and Tarrach, Rolf",2010,"Recommendations for action on the gender dimension in science","London, England","European Commission","Portia Ltd","genSET","0",NA
"EC_2010b","EC_2010b_fore","EC_2010b_intro",NA,NA,"EC_2010b_concl","yes","EU","0","European Commission_2010","FSV","0",1,228,"0",1,0,1,0,0,0,0,"Marchetti, Marina and Raudma, Tiia",2010,"Stocktaking 10 Years of"" Women in Science"" Policy by the European Commission 1999-2009","Luxembourg","European Commission","Office for Official Publications of the European Communities","0","Gender-Net",NA
"EC_2010c",NA,"EC_2010c_intro","EC_2010c_exec",NA,"EC_2010c_concl","yes","EU","0","0","0","0",1,98,"0",1,0,1,0,0,1,0,"Castaño, Cecilia, Müller, Jörg, Gonzalez, Ana and Palmen, Rachel",2010,"Policy towards gender equity in science and research","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","Gender-Net",NA
"EC_2010d",NA,"EC_2010d_intro",NA,NA,"EC_2010d_concl","yes","EU","0","0","0","0",1,66,"0",0,0,0,0,0,1,0,"Schiebinger, Londa , Klinge, Ineke, Arlow, Addison  and Newman, Sarah ",2010,"Gendered innovations. Mainstreaming sex and gender analysis into basic and applied research. Meta-analysis of gender and science research – Topic report","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","Gender-Net",NA
"EC_2011a",NA,"EC_2011a_intro",NA,NA,NA,"yes","EU","0","EC_2011a","0","Annie",1,0,"0",0,0,0,0,0,1,0,"0",2011,"Toolkit: Gender in EU-Funded Research","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Yellow Window Management Consultants","Gender-Net",NA
"EC_2012a","EC_2012a_fore","EC_2012a_intro","EC_2012a_exec",NA,"EC_2012a_concl","yes","EU","0","European Commission_2012a","0","Annie",1,52,"1",1,0,1,0,0,0,0,"0",2011,"Structural Change in research institutions: Enhancing excellence, gender equality and efficiency in research and innovation ","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Directorate-General for Research and Innovation and The Expert Group on Structural Change","0",NA
"EC_2012c","EC_2012c_fore","EC_2012c_intro","EC_2012c_exec",NA,"EC_2012c_concl","yes","EU","0","EC_2012c","0","0",1,0,"0",1,0,1,1,1,0,0,"Caprile, Maria, Addis, Elisabetta, Castaño, Cecilia, Klinge, Ineke, Larios, Marina, Meulders, Danièle, Müller, Jörg, O’Dorchai, Síle, Palasik, Mária, Plasman, Robert, Roivas, Seppo, Sagebiel, Felizitas, Schiebinger, Londa, Vallès, Núria and Vázquez-Cupeiro, Susana",2012,"Meta-analysis of gender and science research: Synthesis report","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Directorate-General for Research and Innovation","0",NA
"EC_2013a","EC_2013a_fore",NA,"EC_2013a_exec",NA,"EC_2013a_concl","yes","EU","0","EC_2013a","Annie","Annie",1,144,"1",0,0,0,0,0,1,0,"Schiebinger, Londa L.",2013,"Gendered Innovations : How Gender Analysis Contributes to Research: Report of the Expert Group ""Innovation Through Gender""","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Directorate General for Research","0",NA
"EC_2013b","EC_2013b_fore",NA,"EC_2013b_exec",NA,NA,"yes","EU","0","EC_2013b","0","0",1,0,"0",0,0,1,1,0,1,0,"Lipinsky, Anke",2014,"Gender Equality Policies in Public Research: Based on a Survey Among Members of the Helsinki Group on Gender in Research and Innovation, 2013","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Directorate-General for Research and Innovation","0",NA
"EC_2013c","EC_2013c_fore","EC_2013c_intro","EC_2013c_exec",NA,NA,"yes","EU","0","European Commission_2013","0","0",1,159,"0",1,0,1,0,0,0,0,"0",2013,"She figures 2012 - Gender in research and innovation","Luxembourg","European Commission","Office for Official Publications of the European Communities","Directorate-General for Research and Innovation and European Research Area","0",NA
"EC_2015a",NA,"EC_2015a_intro","EC_2015a_exec",NA,NA,"yes","EU","0","EC_2015a","0","Annie",1,0,"1",0,0,0,0,0,1,0,"0",2015,"Compendium of national initiatives on the integration of the gender dimension in research contents","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Gender-Net","genSET",NA
"EC_2015b",NA,"EC_2015b_intro","EC_2015b_exec",NA,"EC_2015b_concl","yes","EU","0","EC_2015b","0","0",1,0,"0",1,0,1,1,0,1,0,"0",2015,"Plans and initiatives in selected research institutions aiming to stimulate gender equality and enact structural change","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Gender-Net","University of Wisconsin-Milwaukee",NA
"EC_2015c",NA,"EC_2015c_intro","EC_2015c_exec",NA,"EC_2015c_concl","yes","EU","0","EC_2015c","0","Annie",1,0,"1",1,0,1,0,0,0,0,"0",2015,"National plans and initiatives promoting gender equality and structural change","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Gender-Net","0",NA
"EC_2015d",NA,"EC_2015d_intro","EC_2015d_exec",NA,"EC_2015d_concl","yes","EU","0","EC_2015d","0","Annie",1,0,"1",1,0,1,0,0,0,0,"0",2015,"Award schemes, gender equality and structural change","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","Gender-Net","Advisory Panel on Women in Science",NA
"EC_2015e","EC_2015e_fore","EC_2015e_intro",NA,NA,"EC_2015e_concl","yes","EU","0","EC STAGES_2015","0","Annie",1,0,"0",1,0,1,0,0,0,0,"Cacace, Marina, Balahur, Doina, Bleijenbergh, Inge, Falcinelli, Daniela, Friedrich, Michaela and Kalpazidou, Evanthia",2015,"Structural Transformation to Achieve Gender Equality in Science - Guidelines","Luxembourg","European Commission","Office for Official Publications of the European Communities","0","Committee on Ethical and Legal Issues Relating to the Inclusion of Women in Clinical Studies",NA
"EC_2015f","EC_2015f_fore","EC_2015f_intro","EC_2015f_exec",NA,NA,"yes","EU","0","European_Commission_2015","0","0",1,224,"0",1,0,1,0,0,0,0,"0",2015,"She Figures 2015. Women and Science. Statistics and Indicators","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","Committee on Lesbian Health Research Priorities, Neuroscience and Behavioral Health Program and Health Sciences Policy Program",NA
