"New.Names.for.Pdfs","Foreword","Introduction","Executive.Summary","Preface","Conclusion","Does.renamed.file.exist.in.z_oursample..Yes..no","US.EU.UN","Comments.Questions.","Name.NVIVO.May.24","Fully.coded","Executive.Coded","Main.Theme","page.length.","OCR.done","Fix.Pipeline","Fix.women","Fix.organizations","Fix.structure","Fix.culture","fix.knowledge","fix.problems","Author","Year","Title","Location","Institution","Publisher","Department","Department.1","NA."
"EC_2015h",NA,"EC_2015h_intro",NA,NA,NA,"yes","INT","0","0","0","0",1,78,"0",1,0,1,0,0,1,1,"0",2015,"Better Science & Technology for Creative Economy: Enhancing the Societal Impact through Gendered Innovations in Research, Development and Business","Seoul, Korea","Women in Science, Engineering and Technology (WISET); Portia Ltd","Publishing Institute Center for WISET","0","Committee on Understanding the Biology of Sex and Gender Differences and Board on Health Sciences Policy",NA
"EC_2016",NA,"EC_2016_intro",NA,NA,NA,"yes","INT","0","0","0","0",1,74,"0",0,0,0,0,0,1,1,"Lee, Heisook and Pollitzer, Elizabeth",2016,"The Role of Gender-based Innovations for the UN Sustainable Development Goals Toward 2030: Better Science and Technology for Al","Seoul, Korea","Portia Ltd; Women in Science, Engineering and Technology (WISET)","Engineering and Technology (WISET) Women in Science","0","Board on Population Health and Public Health Practice",NA
"ESF_2011",NA,NA,"ESF_2011_exec","ESF_2011_pref",NA,"yes","EU","0","European Science Foundation_2011","0","0",1,24,"0",0,0,1,0,0,1,0,"0",2011,"Public Consultation on the Future of Gender and Innovation in Europe: Summary Report","Strasbourg, France","genSET; European Science Foundation (ESF)","European Science Foundation (ESF)","genSET","0",NA
"FoSi_2011",NA,"FoSi_2011_intro","FoSi_2011_exec",NA,"FoSi_2011_concl","yes","US","0","0","0","0",1,64,"0",1,1,1,0,0,0,0,"Fouad, Nadya A. and Singh, Romila",2011,"Stemming the Tide Why Women Leave Engineering","Milwaukee, Wisconsin","National Science Foundation (NSF)","National Science Foundation (NSF)","University of Wisconsin-Milwaukee","0",NA
"HZ_2010",NA,"HZ_2010_intro","HZ_2010_exec",NA,NA,"yes","US","0","0","0","0",1,11,"0",0,0,1,0,0,0,0,"Hogan, Alice, Zippel, Kathrin S., Frehill, Lisa M. and Kramer, Laura",2010,"Report of the International Workshop on International Research Collaboration","Washington, DC","National Science Foundation (NSF)","National Science Foundation (NSF)","0","Committee on Women Faculty. Massachusetts Institute of Technology (MIT)",NA
"IAC_2006","IAC_2006_fore","IAC_2006_intro","IAC_2006_exec","IAC_2006_pref","IAC_2006_concl","yes","INT","0","IAC_2006","0","Annie",1,100,"1",0,0,1,0,0,0,1,"0",2006,"Women for Science. An Advisory Report","Amsterdam, Netherlands","InterAcademy Council (IAC)","InterAcademy Council (IAC)","Advisory Panel on Women in Science","0",NA
"IOM_1994",NA,"IOM_1994_intro","IOM_1994_exec","IOM_1994_pref","IOM_1994_concl","yes","US","0","NAP_1994","0","0",1,0,"1",0,0,1,1,0,1,0,"Mastroianni, Anna C., Faden, Ruth and Federman, Daniel",1994,"Women and Health Research: Ethical and Legal Issues of Including Women in Clinical Studies","Washington, DC","Institute of Medicine (IOM)","The National Academies Press","Committee on Ethical and Legal Issues Relating to the Inclusion of Women in Clinical Studies","0",NA
"IOM_1999",NA,"IOM_1999_intro","IOM_1999_exec","IOM_1999_pref","IOM_1999_concl","yes","US","0","0","0","0",1,234,"0",0,0,0,0,0,1,0,"Solarz, Andrea L.",1999,"Lesbian Health: Current Assessment and Directions for the Future","Washington, DC","Institute of Medicine (IOM)","The National Academies Press","Committee on Lesbian Health Research Priorities, Neuroscience and Behavioral Health Program and Health Sciences Policy Program","0",NA
"IOM_2001",NA,"IOM_2001_intro","IOM_2001_exec","IOM_2001_pref",NA,"yes","US","0","NAS_2001","Annie","Annie",1,0,"0",0,0,1,1,0,1,0,"Wizemann, Theresa M. and Pardue, Mary-Lou",2001,"Exploring the Biological Contributions to Human Health: Does Sex Matter?","Washington, DC","Institute of Medicine (IOM)","The National Academies Press","Committee on Understanding the Biology of Sex and Gender Differences and Board on Health Sciences Policy","Office of Scientific and Engineering Personnel",NA
"IOM_2012",NA,"IOM_2012_intro",NA,"IOM_2012_pref","IOM_2012_concl","yes","US","0","NAS_2012b","0","0",1,72,"0",0,0,1,0,0,1,0,"Wizemann, Theresa M.",2012,"Sex-Specific Reporting of Scientific Research","Washington, DC","Institute of Medicine (IOM)","The National Academies Press","Board on Population Health and Public Health Practice","Committee on Women in Science and Engineering and Office of Scientific and Engineering Personnel; Policy and Global Affairs",NA
"LERU_2012",NA,"LERU_2012_intro","LERU_2012_exec",NA,"LERU_2012_concl","yes","EU","0","LERU_2012","0","Annie",1,32,"1",0,0,0,0,0,1,0,"Maes, Katrien, Gvozdanovic, Jadranka, Buitendijk, Simone, Rahm Hallbertg, Ingalill and Mantilleri, Brigitte",2012,"Women, research and universities: excellence without gender bias","Brussels, Belgium","League of European Research Universities (LERU)","League of European Research Universities (LERU)","0","Committee on Women in Science and Engineering and Ad Hoc Panel on Interventions",NA
"LERU_2015",NA,"LERU_2015_intro","LERU_2015_exec",NA,"LERU_2015_concl","yes","EU","0","LERU_2015","0","Annie",1,0,"1",0,0,1,0,0,1,1,"Buitendijk, Simone and Maes, Katrien",2015,"Gendered Research and Innovation: Integrating Sex and Gender Analysis into the Research Process","Leuven, Belgium","League of European Research Universities (LERU)","League of European Research Universities (LERU)","0","Committee on Women in Science and Engineering and Office of Scientific and Engineering Personnel",NA
"NAS_2007",NA,"NAS_2007_intro","NAS_2007_exec","NAS_2007_pref","NAS_2007_concl","yes","US","0","NAS_2007","FSV","Annie",1,0,"1",1,0,1,0,0,0,0,"Shalala, Donna, Agogino, Alice, Bailyn, Lotte, Birgeneau, Robert J., Cauce, Ana Mari, Deangelis, Catherine D., Denton, Denice, Grosz, Barbara, Handlesman, Jo, Keohane, Nan, Malcom, Shirley, Richmond, Geraldine, Rivlin, Alice M., Simmons, Ruth, Spelke, Elizabeth, Steitz, Joan, Weyuker, Elaine, Zuber, Maria and Iammarino, Simona",2007,"Beyond Bias and Barriers: Fulfilling the Potential of Women in Academic Science and Engineering","Washington, DC","Institute of Medicine (IOM); National Academy of Engineering (NAE); National Academy of Sciences (NAS)","The National Academies Press","0","Committee on Women in Science and Engineering",NA
"NOW_2003",NA,"NOW_2003_intro","NOW_2003_exec",NA,"NOW_2003_concl","yes","US","0","0","0","0",1,43,"0",1,0,1,0,0,0,0,"Nelson, Donna J and Rogers, Diana C",2003,"A national analysis of diversity in science and engineering faculties at research universities","Washington, DC","National Organization for Women (NoW)","National Organization for Women (NoW)","0","Committee on the Guide to Recruiting and Advancing Women Scientists and Engineers in Academia, Committee on Women in Science and Engineering, Committee on Women in Science Engineering and Medicine and Policy and Global Affairs",NA
"NRC_1987",NA,"NRC_1987_intro",NA,"NRC_1987_pref",NA,"yes","US","0","NAP_1987","0","0",1,189,"0",1,1,0,0,0,0,0,"Dix, Linda S.",1987,"Women: Their Underrepresentation and Career Differentials in Science and Engineering: Proceedings of a Conference","Washington, DC","National Research Council (NRC)","The National Academies Press","Office of Scientific and Engineering Personnel","Committee on Maximizing the Potential of Women in Academic Science and Engineering (U.S.) and Committee on Science Engineering and Public Policy (U.S.)",NA
"NRC_1991","NRC_1991_fore","NRC_1991_intro","NRC_1991_exec","NRC_1991_pref","NRC_1991_concl","yes","US","0","NRC_1991","0","Annie",1,0,"0",1,1,0,0,0,0,0,"0",1991,"Women in Science and Engineering: Increasing Their Numbers in the 1990s: A Statement on Policy and Strategy","Washington, DC","National Research Council (NRC)","The National Academies Press","Committee on Women in Science and Engineering and Office of Scientific and Engineering Personnel; Policy and Global Affairs","Engineering Committee on Gender Differences in the Careers of Science, and Mathematics Faculty, Engineering Committee on Women in Science, and Medicine and Committee on National Statistics",NA
"NRC_1992","NRC_1992_fore",NA,NA,"NRC_1992_pref","NRC_1992_concl","yes","US","0","NAP_1992","0","0",1,76,"0",1,1,0,0,0,0,0,"Matyas, Marsha Lakes and Dix, Linda Skidmore",1992,"Science and Engineering Programs: On Target for Women?","Washington, DC","National Research Council (NRC)","The National Academies Press","Committee on Women in Science and Engineering and Ad Hoc Panel on Interventions","Committee on Status and Participation of Women in STEM Disciplines and Careers and Engineering Committee on Women in Science, and Medicine; Policy and Global Affairs",NA
"NRC_2000",NA,"NRC_2000_intro",NA,"NRC_2000_pref",NA,"yes","US","0","NAP_2000","0","0",1,0,"1",1,0,1,1,0,0,1,"0",2000,"Who Will Do the Science of the Future?: A Symposium on Careers of Women in Science","Washington, DC","National Academies of Sciences (NAS); National Research Council (NRC)","The National Academies Press","Committee on Women in Science and Engineering and Office of Scientific and Engineering Personnel","0",NA
"NRC_2001",NA,"NRC_2001_intro","NRC_2001_exec","NRC_2001_pref","NRC_2001_concl","yes","US","0","NRC_2001","0","0",1,0,"1",1,1,0,0,0,0,0,"0",2001,"From Scarcity to Visibility: Gender Differences in the Careers of Doctoral Scientists and Engineers","Washington, DC","National Research Council (NRC)","The National Academies Press","Committee on Women in Science and Engineering","Committee on Career Outcomes of Female Engineering Bachelor's Degree Recipients, Engineering Committee on Women in Science, and Medicine and Policy and Global Affairs",NA
"NRC_2006",NA,"NRC_2006_intro","NRC_2006_exec","NRC_2006_pref","NRC_2006_concl","yes","US","0","NRC_2006","0","Annie",1,0,"0",1,1,1,0,0,0,0,"0",2006,"To Recruit and Advance: Women Students and Faculty in Science and Engineering","Washington, DC","National Research Council (NRC)","The National Academies Press","Committee on the Guide to Recruiting and Advancing Women Scientists and Engineers in Academia, Committee on Women in Science and Engineering, Committee on Women in Science Engineering and Medicine and Policy and Global Affairs","0",NA
"NRC_2006b",NA,"NRC_2006b_intro","NRC_2006b_exec","NRC_2006b_pref",NA,"yes","US","0","NAS_2006","0","0",1,245,"0",1,1,0,0,0,0,0,"Shalala, Donna, Agogino, Alice, Bailyn, Lotte, Birgeneau, Robert J., Cauce, Ana Mari, Deangelis, Catherine D., Denton, Denice, Grosz, Barbara, Handlesman, Jo, Keohane, Nan, Malcom, Shirley, Richmond, Geraldine, Rivlin, Alice M., Simmons, Ruth, Spelke, Elizabeth, Steitz, Joan, Weyuker, Elaine and Zuber, Maria",2006,"Biological, social, and organizational components of success for women in academic science and engineering: Report of a workshop","Washington, DC","Institute of Medicine (IOM); National Academy of Engineering (NAE); National Academy of Sciences (NAS)","The National Academies Press","Committee on Maximizing the Potential of Women in Academic Science and Engineering (U.S.) and Committee on Science Engineering and Public Policy (U.S.)","0",NA
"NRC_2010",NA,"NRC_2010_intro","NRC_2010_exec","NRC_2010_pref","NRC_2010_concl","yes","US","0","NRC_2010","0","Annie",1,385,"1",1,1,0,0,0,0,0,"Canizares, Claude R., Shaywitz, Sally E., Abriola, Linda, Buikstra, Jane, Carriquiry, Alicia, Ehrenberg, Ronald, Girgus, Joan, Leibowitz, Arleen, Taylor, Thomas N. and Wu, Lilian",2010,"Gender Differences at Critical Transitions in the Careers of Science, Engineering, and Mathematics Faculty","Washington, DC","National Research Council (NRC)","The National Academies Press","Engineering Committee on Gender Differences in the Careers of Science, and Mathematics Faculty, Engineering Committee on Women in Science, and Medicine and Committee on National Statistics","0",NA
"NRC_2012",NA,"NRC_2012_intro",NA,"NRC_2012_pref","NRC_2012_concl","yes","US","0","NAS_2012","Annie","Annie",1,127,"1",1,0,1,0,0,0,0,"Didion, Catherin, Frehill, Lisa M. and Pearson, Willie",2012,"Blueprint for the Future: Framing the Issues of Women in Science in a Global Context: Summary of a Workshop","Washington, DC","National Research Council (NRC)","The National Academies Press","Committee on Status and Participation of Women in STEM Disciplines and Careers and Engineering Committee on Women in Science, and Medicine; Policy and Global Affairs","Committee on Equal Opportunities in Science and Engineering (CEOSE)",NA
"NRC_2013",NA,"NRC_2013_intro",NA,"NRC_2013_pref","NRC_2013_concl","yes","US","0","NAP_2013","0","0",1,292,"0",1,0,1,0,0,0,0,"0",2013,"Seeking Solutions: Maximizing American Talent by Advancing Women of Color in Academia: Summary of a Conference","Washington, DC","National Research Council (NRC)","The National Academies Press","0","0",NA
"NRC_2014",NA,"NRC_2014_intro",NA,"NRC_2014_pref","NRC_2014_concl","yes","US","0","NAP_2014","0","0",1,0,"1",1,0,1,1,1,0,0,"Frueh, Sara J.",2014,"Career Choices of Female Engineers ","Washington, DC","National Academy of Engineering (NAE); National Research Council (NRC)","The National Academies Press","Committee on Career Outcomes of Female Engineering Bachelor's Degree Recipients, Engineering Committee on Women in Science, and Medicine and Policy and Global Affairs","0",NA
"NSF_1994",NA,NA,"NSF_1994_exec","NSF_1994_pref",NA,"yes","US","Master file does not exist, only the cut preface and executive summary (highlights) from url http://www.nsf.gov/statistics/women/","0","0","0",1,26,"0",1,0,1,0,0,0,0,"0",1994,"Women, Minorities, and Persons with Disabilities in S&E: 1994","Washington, DC","National Science Foundation (NSF)","National Science Foundation (NSF)","0","0",NA
"NSF_2000","NSF_2000_fore","NSF_2000_intro","NSF_2000_exec",NA,NA,"yes","US","0","NSF_2000","0","Annie",1,266,"0",1,0,0,0,0,0,0,"0",2000,"Women, Minorities, and Persons with Disabilities in Science and Engineering: 2000","Arlington, Virginia","National Science Foundation (NSF)","National Science Foundation (NSF)","0","0",NA
"NSF_2002","NSF_2002_fore","NSF_2002_intro","NSF_2002_exec",NA,NA,"yes","US","0","NSF_2002","0","0",1,0,"0",1,0,0,0,0,0,0,"0",2002,"Women, Minorities, and Persons with Disabilities in Science and Engineering: 2002","Arlington, Virginia","National Science Foundation (NSF)","National Science Foundation (NSF)","0","0",NA
"NSF_2004","NSF_2004_fore","NSF_2004_intro","NSF_2004_exec",NA,"NSF_2004_concl","yes","US","0","NSF_2004","0","Annie",1,150,"0",1,1,1,0,0,0,0,"0",2004,"Broadening Participation in America's Science and Engineering Workforce: The 1994-2003 Decennial & 2004 Biennial Reports to Congress","Arlington, Virginia","National Science Foundation (NSF)","National Science Foundation (NSF)","Committee on Equal Opportunities in Science and Engineering (CEOSE)","President’s Council of Advisors on Science and Technology",NA
"NSF_2013",NA,"NSF_2013_intro",NA,NA,NA,"yes","US","0","NSF_2013","0","0",1,0,"0",1,0,0,0,0,0,0,"0",2013,"Women, Minorities, and Persons with Disabilities in Science and Engineering: 2013","Arlington, Virginia","National Science Foundation (NSF)","National Science Foundation (NSF)","0","Robert Bosch Stiftung",NA
"NSF_2013b",NA,"NSF_2013b_intro","NSF_2013b_exec",NA,"NSF_2013b_concl","yes","US","0","0","0","0",1,60,"0",1,0,1,0,0,1,0,"0",2013,"Diversity Fueling Excellence in Research and Innovation Conference Report","Washington, DC","National Science Foundation (NSF)","National Academies Press (NAP)","0","0",NA
"NSF_2015",NA,"NSF_2015_intro",NA,NA,NA,"yes","US","0","NSF_2015","0","Annie",1,0,"1",1,0,0,0,0,0,0,"0",2015,"Women, Minorities, and Persons with Disabilities in Science and Engineering: 2015","Arlington, Virginia","National Science Foundation (NSF)","National Science Foundation (NSF)","0","0",NA
"OECD_2007","OECD_2007_fore","OECD_2007_intro",NA,NA,"OECD_2007_concl","yes","INT","0","0","0","0",1,15,"0",1,0,1,0,0,0,0,"0",2006,"Women in Science, Engineering and Technology (SET): Strategies for a Global Workforce","Ottawa, Canada","Organisation for Economic Co-operation and Development (OECD)","Organisation for Economic Co-operation and Development (OECD)","0","0",NA
"OECD_2011",NA,"OECD_2011_intro","OECD_2011_exec",NA,NA,"yes","INT","0","OECD_2011","0","0",1,78,"0",1,1,0,0,0,0,0,"0",2011,"Report on the Gender Initiative: Gender Equality in Education, Employment and Entrepreneurship","Paris, France","Organisation for Economic Co-operation and Development (OECD)","Organisation for Economic Co-operation and Development (OECD)","0","0",NA
"PCAST_2012",NA,"PCAST_2012_intro","PCAST_2012_exec","PCAST_2012_pref","PCAST_2012_concl","yes","US","0","PCAST_2012","0","0",1,0,"0",1,0,1,1,0,0,0,"Holdren, John P. and Lander, Eric",2012,"Report to the President—Engage to excel: Producing one million additional college graduates with degrees in science, technology, engineering, and mathematics","Washington, DC","Executive Office of the President","United States Federal Government","President’s Council of Advisors on Science and Technology","UN ICT Task Force Secretariat",NA
"RB_2015",NA,"RB_2015_intro","RB_2015_exec",NA,"RB_2015_concl","yes","EU","0","RobertBosch_2015","0","Annie",1,0,"1",1,0,1,0,0,0,0,"Wallon, Gerlind, Bendiscioli, Sandra and Garfinkel, Michele S.",2015,"Exploring Quotas in Academia","Heidelberg, Germany","European Molecular Biology Organization (EMBO)","European Molecular Biology Organization Press","Robert Bosch Stiftung","0",NA
"UN_1995","UN_1995_fore",NA,NA,"UN_1995_pref",NA,"yes","INT","0","UN_1995","0","0",1,0,"1",0,0,0,0,0,1,1,"McGregor, Betsy and Oldham, Geoffrey",1995,"Missing Links: Gender Equity in Science and Technology for Development","London, England","United Nations Conference on Trade and Development (UNCTAD); UN Women; UN Gender Working Group","Intermediate Technology Publications Ltd","0","0",NA
"UN_1999a",NA,NA,NA,"UN_1999a_pref",NA,"yes","INT","0","UNESCO_1999","FSV","Annie",1,58,"0",1,0,1,1,0,1,1,"0",1999,"Women, science and technology: Towards a new development?","Paris, France","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","0",NA
"UN_2000",NA,"UN_2000_intro","UN_2000_exec","UN_2000_pref","UN_2000_concl","yes","INT","0","UN_2000","0","0",1,0,"1",0,0,1,1,0,1,1,"Marcelle, Gillian",2000,"Transforming Information & Communications Technologies for Gender Equality","Geneva, Switzerland","United Nations Development Program (UNDP)","United Nations Publications","0","Division for the Advancement of Women and Department of Economic and Social Affairs",NA
"UN_2002a",NA,NA,"UN_2002a_exec","UN_2002a_pref","UN_2002a_concl","yes","INT","0","UN_2002a","0","0",1,0,"1",0,0,1,1,0,0,1,"0",2002,"Information and communication technologies and their impact on and use as an instrument for the advancement and empowerment of women","Geneva, Switzerland","United Nations Division for the Advancement of Women (DAW); International Telecommunication Union (ITU)","United Nations Publications","UN ICT Task Force Secretariat","Commission on Science and Technology for Development",NA
"UN_2003",NA,"UN_2003_intro",NA,"UN_2003_pref","UN_2003_concl","yes","INT","0","UN_2003","0","0",1,0,"1",0,0,1,1,0,0,1,"Primo, Natasha",2003,"Gender Issues in the Information Society","Paris, France","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","Commission on Science and Technology for Development",NA
"UN_2004","UN_2004_fore","UN_2004_intro",NA,NA,NA,"yes","INT","0","UN_2004b","0","0",1,0,"1",1,0,1,1,0,0,1,"0",2004,"Guidelines for Gender Mainstreaming in Science and Technology","Paris, France","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","Institute for Statistics",NA
"UN_2005",NA,"UN_2005_intro",NA,NA,"UN_2005_concl","yes","INT","0","UN_2005","0","0",1,0,"1",0,0,1,1,0,1,0,"0",2005,"Women2000 and Beyond: Gender Equality and Empowerment of Women Through ICT","Geneva, Switzerland","UN Women","United Nations Publications","Division for the Advancement of Women and Department of Economic and Social Affairs","0",NA
"UN_2006a",NA,"UN_2006a_intro",NA,NA,NA,"yes","INT","0","UN_2006a","0","0",1,0,"1",0,0,1,1,0,1,1,"Huyer, Sophia",2006,"Gender, Science and Technology for Sustainable Development: Looking Ahead to the Next 10 Years","Geneva, Switzerland","UN Gender Advisory Board","United Nations Publications","Commission on Science and Technology for Development","United Nations Division for the Advancement of Women (DAW)",NA
"UN_2007a",NA,"UN_2007a_intro","UN_2007a_exec","UN_2007a_pref",NA,"yes","INT","0","UN_2007c","FSV","Annie",1,190,"0",1,0,1,1,0,0,0,"0",2007,"Science, Technology and Gender: An International Report ","Montreal, Canada","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","Institute for Statistics","0",NA
"UN_2007b","UN_2007b_fore","UN_2007b_intro",NA,"UN_2007b_pref",NA,"yes","INT","0","UN_2007b","0","0",1,0,"1",1,0,1,0,1,0,0,"Huyer, Sophia and Westholm, Gunnar",2007,"Gender Indicators in Science, Engineering and Technology: An Information Toolkit","Paris, France","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","0",NA
"UN_2010",NA,"UN_2010_intro",NA,NA,"UN_2010_concl","yes","INT","0","UN_2010","0","0",1,0,"1",1,0,1,1,0,1,1,"0",2010,"Gender, Science Technology Expert Group Report","Paris, France","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","United Nations Division for the Advancement of Women (DAW)","0",NA
"UN_2011b",NA,"UN_2011b_intro","UN_2011b_exec","UN_2011b_pref","UN_2011b_concl","yes","INT","0","UN_2011b","0","0",1,0,"1",0,0,0,0,0,1,1,"Panitchpakdi, Supachai and Ayittey, Sherry",2011,"Applying a Gender Lens to Science, Technology and Innovation","Geneva, Switzerland","United Nations Conference on Trade and Development (UNCTAD)","United Nations Publications","0","0",NA
"UN_2012","UN_2012_fore","UN_2012_intro","UN_2012_exec",NA,"UN_2012_concl","yes","INT","0","UN_2012","0","0",1,0,"1",1,0,1,1,1,0,0,"0",2012,"A Bright Future in ICTs Opportunities for a New Generation of Women","Geneva, Switzerland","International Telecommunication Union (ITU)","International Telecommunication Union (ITU)","0","0",NA
"UN_2012b","UN_2012b_fore","UN_2012b_intro",NA,NA,"UN_2012b_concl","yes","INT","0","0","0","0",1,118,"0",1,0,1,0,0,0,0,"0",2012,"WORLD ATLAS of Gender Equality in Education","Geneva, Switzerland","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","United Nations Broadband Commission",NA
"UN_2013","UN_2013_fore",NA,"UN_2013_exec",NA,"UN_2013_concl","yes","INT","0","UN_2013","0","0",1,0,"1",1,0,0,1,1,0,0,"0",2013,"Doubling Digital Opportunities: Enhancing the Inclusion of Women & Girls in the Information Society","Paris, France","International Telecommunication Union (ITU); United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","United Nations Broadband Commission","0",NA
"UN_2014",NA,NA,"UN_2014_exec",NA,"UN_2014_concl","yes","INT","0","UN_2014","0","0",1,0,"1",1,0,1,0,1,0,1,"0",2014,"Girls In STEM and ICT Careers: The Path toward Gender Equality","Geneva, Switzerland","International Telecommunication Union (ITU); United Nations Educational, Scientific and Cultural Organization (UNESCO); UN Women; Microsoft","United Nations Publications","0","0",NA
"US_2000",NA,"US_2000_intro",NA,"US_2000_pref","US_2000_concl","yes","US","0","US GAO_2000","0","Annie",1,0,"0",0,0,0,0,0,1,0,"0",2000,"NIH Has Increased Its Efforts to Include Women in Research","Washington, DC","Government Accountability Office (GAO)","Government Accountability Office (GAO)","0","0",NA
"US_2004",NA,"US_2004_intro","US_2004_exec","US_2004_pref","US_2004_concl","yes","US","0","US GAO_2004","0","Annie",1,55,"0",1,1,0,0,0,0,0,"Ashby, Cornelia M. ",2004,"Gender Issues: Women’s Participation in the Sciences Has Increased, but  Agencies Need to Do More to Ensure Compliance with Title IX","Washington, DC","Government Accountability Office (GAO)","Government Accountability Office (GAO)","0","0",NA
"US_2015",NA,NA,"US_2015_exec","US_2015_pref","US_2015_concl","yes","US","0","US_GAO_2015","0","0",1,0,"0",0,0,1,0,0,1,0,"0",2015,"Better Oversight Needed to Help Ensure Continued Progress Including Women in Health Research","Washington, DC","Government Accountability Office (GAO)","Government Accountability Office (GAO)","0","0",NA
"WB_2009",NA,"WB_2009_intro","WB_2009_exec",NA,NA,"yes","INT","0","WorldBank_2009","0","0",1,0,"1",0,0,1,1,0,1,0,"Melhem, Samia, Tandon, Nidhi and Morrell, Claudia",2009,"Information and Communication Technologies for Women's Socio-Economic Empowerment","Washington, DC","World Bank Group","World Bank Group","0","0",NA
"WLL_2014",NA,"WLL_2014_intro","WLL_2014_exec",NA,"WLL_2014_concl","yes","US","0","WorkLifeLaw_2014","0","0",1,0,"0",1,0,1,0,1,0,0,"Williams, Joan C., Phillips, Katherine W. and Hall, Erika V.",2014,"Double Jeopardy? Gender bias against women of color in science","San Francisco, CA","WorkLife Law","UC Hastings College of the Law","0","0",NA
